ele,x,y,z,flip
-1428.73999,-19.18127919,56.12251186,1369.73001,1428.73999
-1427.65002,-19.16331289,56.12251186,1370.81998,1427.65002
-1416.73999,-19.14534658,56.12251186,1381.73001,1416.73999
-1408.55005,-19.12738027,56.12251186,1389.91995,1408.55005
-1404.25,-19.10941397,56.12251186,1394.22,1404.25
-1406.29004,-19.09144766,56.12251186,1392.17996,1406.29004
-1407.82996,-19.07348136,56.12251186,1390.64004,1407.82996
-1398.41003,-19.05551505,56.12251186,1400.05997,1398.41003
-1465.03003,-20.76231409,56.10999138,1333.43997,1465.03003
-1509.29004,-20.74434779,56.10999138,1289.17996,1509.29004
-1526.93994,-20.72638148,56.10999138,1271.53006,1526.93994
-1489.38,-20.70841517,56.10999138,1309.09,1489.38
-1465.66003,-20.69044887,56.10999138,1332.80997,1465.66003
-1496.17004,-20.67248256,56.10999138,1302.29996,1496.17004
-1502.14001,-20.65451626,56.10999138,1296.32999,1502.14001
-1450.87,-20.63654995,56.10999138,1347.6,1450.87
-1463.90002,-20.61858365,56.10999138,1334.56998,1463.90002
-1451.14001,-20.60061734,56.10999138,1347.32999,1451.14001
-1444.80005,-20.58265103,56.10999138,1353.66995,1444.80005
-1440.58997,-20.56468473,56.10999138,1357.88003,1440.58997
-1434.84998,-20.54671842,56.10999138,1363.62002,1434.84998
-1438.46997,-20.52875212,56.10999138,1360.00003,1438.46997
-1441.71997,-20.51078581,56.10999138,1356.75003,1441.71997
-1452.85999,-20.49281951,56.10999138,1345.61001,1452.85999
-1465.70996,-20.4748532,56.10999138,1332.76004,1465.70996
-1468.73999,-20.45688689,56.10999138,1329.73001,1468.73999
-1472.71997,-20.43892059,56.10999138,1325.75003,1472.71997
-1477.60999,-20.42095428,56.10999138,1320.86001,1477.60999
-1479.59998,-20.40298798,56.10999138,1318.87002,1479.59998
-1477.60999,-20.38502167,56.10999138,1320.86001,1477.60999
-1482.31995,-20.36705537,56.10999138,1316.15005,1482.31995
-1482.77002,-20.34908906,56.10999138,1315.69998,1482.77002
-1485.40002,-20.33112275,56.10999138,1313.06998,1485.40002
-1483.21997,-20.31315645,56.10999138,1315.25003,1483.21997
-1484.90002,-20.29519014,56.10999138,1313.56998,1484.90002
-1483.21997,-20.27722384,56.10999138,1315.25003,1483.21997
-1476.47998,-20.25925753,56.10999138,1321.99002,1476.47998
-1471.95996,-20.24129123,56.10999138,1326.51004,1471.95996
-1470.28003,-20.22332492,56.10999138,1328.18997,1470.28003
-1466.89001,-20.20535862,56.10999138,1331.57999,1466.89001
-1467.43005,-20.18739231,56.10999138,1331.03995,1467.43005
-1468.06006,-20.169426,56.10999138,1330.40994,1468.06006
-1459.82996,-20.1514597,56.10999138,1338.64004,1459.82996
-1458.10999,-20.13349339,56.10999138,1340.36001,1458.10999
-1456.47998,-20.11552709,56.10999138,1341.99002,1456.47998
-1457.96997,-20.09756078,56.10999138,1340.50003,1457.96997
-1466.16003,-20.07959448,56.10999138,1332.30997,1466.16003
-1471,-20.06162817,56.10999138,1327.47,1471
-1467.60999,-20.04366186,56.10999138,1330.86001,1467.60999
-1465.30005,-20.02569556,56.10999138,1333.16995,1465.30005
-1463.63,-20.00772925,56.10999138,1334.84,1463.63
-1465.30005,-19.98976295,56.10999138,1333.16995,1465.30005
-1473.90002,-19.97179664,56.10999138,1324.56998,1473.90002
-1474.13,-19.95383034,56.10999138,1324.34,1474.13
-1472.41003,-19.93586403,56.10999138,1326.05997,1472.41003
-1473.71997,-19.91789772,56.10999138,1324.75003,1473.71997
