FID,STATE_NM,COUNTY_NM,index,Slope,R,p,Id
158,MICHIGAN,GRATIOT,MICHIGAN_GRATIOT,1.819010804,0.882078238,2.63E-17,158
159,KANSAS,LYON,KANSAS_LYON,0.994914027,0.577574588,9.10E-06,159
160,MICHIGAN,INGHAM,MICHIGAN_INGHAM,1.854251686,0.868935998,6.85E-17,160
161,MICHIGAN,IONIA,MICHIGAN_IONIA,2.051780073,0.929876915,2.32E-23,161
162,MICHIGAN,LAKE,MICHIGAN_LAKE,2.408914177,0.821830884,4.52E-10,162
163,MINNESOTA,KANDIYOHI,MINNESOTA_KANDIYOHI,2.608758703,0.896639569,1.32E-18,163
164,MICHIGAN,MECOSTA,MICHIGAN_MECOSTA,1.739643985,0.889376038,1.27E-18,164
165,SOUTH DAKOTA,DAY,SOUTH DAKOTA_DAY,2.786193878,0.926934374,1.22E-21,165
166,MINNESOTA,KANABEC,MINNESOTA_KANABEC,1.417699661,0.694532326,8.61E-08,166
167,ILLINOIS,FAYETTE,ILLINOIS_FAYETTE,2.003882353,0.747423124,2.96E-10,167
168,ILLINOIS,HAMILTON,ILLINOIS_HAMILTON,1.859976118,0.700874989,2.91E-08,168
169,MINNESOTA,ANOKA,MINNESOTA_ANOKA,1.506153846,0.769294911,4.25E-11,169
170,SOUTH DAKOTA,BROOKINGS,SOUTH DAKOTA_BROOKINGS,3.02000905,0.939371088,2.01E-24,170
171,SOUTH DAKOTA,PENNINGTON,SOUTH DAKOTA_PENNINGTON,0.572369338,0.309933049,0.048606491,171
172,SOUTH DAKOTA,BUTTE,SOUTH DAKOTA_BUTTE,1.29546716,0.830989752,8.86E-13,172
173,MINNESOTA,CARLTON,MINNESOTA_CARLTON,2.721625616,0.801821344,1.71E-07,173
174,MINNESOTA,CROW WING,MINNESOTA_CROW WING,1.741449275,0.759339426,9.53E-10,174
175,MICHIGAN,BARAGA,MICHIGAN_BARAGA,1.461758242,0.479655412,0.082630181,175
176,KANSAS,BARTON,KANSAS_BARTON,1.116336735,0.685556076,5.48E-08,176
177,INDIANA,DELAWARE,INDIANA_DELAWARE,1.602501494,0.784209376,6.13E-12,177
178,MICHIGAN,CLARE,MICHIGAN_CLARE,1.75217759,0.84549407,5.16E-13,178
179,OHIO,MADISON,OHIO_MADISON,2.046427047,0.868348406,7.60E-17,179
180,KANSAS,ANDERSON,KANSAS_ANDERSON,1.159131222,0.584288072,6.75E-06,180
181,IOWA,CLARKE,IOWA_CLARKE,1.559387755,0.637651606,8.33E-07,181
182,OHIO,GEAUGA,OHIO_GEAUGA,1.29822449,0.742132615,1.05E-09,182
183,IOWA,CHEROKEE,IOWA_CHEROKEE,2.370552036,0.899900286,2.74E-19,183
184,OHIO,HIGHLAND,OHIO_HIGHLAND,1.925936993,0.857048552,5.18E-16,184
185,ILLINOIS,PULASKI,ILLINOIS_PULASKI,2.153248869,0.826576591,7.98E-14,185
186,MINNESOTA,ISANTI,MINNESOTA_ISANTI,1.496452489,0.793729417,3.72E-12,186
187,MINNESOTA,WATONWAN,MINNESOTA_WATONWAN,2.206245198,0.882729357,5.03E-18,187
188,OHIO,MARION,OHIO_MARION,1.979356271,0.862667366,2.04E-16,188
189,INDIANA,NEWTON,INDIANA_NEWTON,1.78508068,0.773957031,1.72E-11,189
190,KANSAS,JOHNSON,KANSAS_JOHNSON,0.852926829,0.314714568,0.047940797,190
191,IOWA,DAVIS,IOWA_DAVIS,1.547312217,0.603797005,2.72E-06,191
192,ILLINOIS,LIVINGSTON,ILLINOIS_LIVINGSTON,2.053423546,0.754344551,1.07E-10,192
193,IOWA,FAYETTE,IOWA_FAYETTE,2.031994365,0.891646067,7.76E-19,193
194,KANSAS,MCPHERSON,KANSAS_MCPHERSON,0.670524204,0.437824851,0.001170376,194
